##OTU ID	CD.IV.B.24	UC.PO.3M.93	no.IV.3M.123	CD.IV.3M.79	UC.PO.B.28	UC.IV.3M.103	no.PO.B.53	UC.PO.3M.95	CD.IV.B.19	CD.IV.B.43	UC.PO.B.11	CD.PO.3M.64	UC.PO.B.30	UC.IV.3M.104	UC.PO.B.36	no.IV.B.57	CD.IV.B.26	UC.IV.B.40	no.PO.B.45	no.IV.B.60	no.IV.3M.125	no.PO.B.52	no.IV.3M.118	CD.IV.B.22	CD.PO.B.4	no.IV.B.61	UC.PO.3M.94	no.PO.3M.116	no.PO.3M.115	no.PO.3M.113	no.PO.3M.114	CD.PO.B.7	CD.IV.B.20	CD.IV.3M.83	CD.PO.B.12	CD.IV.3M.106	CD.PO.3M.66	CD.IV.3M.85	UC.PO.3M.99	no.IV.3M.126	UC.PO.B.29	no.IV.3M.119	CD.PO.3M.71	UC.IV.3M.105	CD.PO.B.2	no.IV.B.63	CD.PO.3M.75	UC.PO.B.31	CD.PO.3M.76	CD.IV.B.15	no.PO.B.51	no.IV.B.55	CD.IV.B.14	no.IV.3M.124	no.PO.B.49	UC.IV.B.39	CD.PO.3M.72	CD.IV.B.25	CD.IV.B.18	CD.IV.3M.82	CD.PO.B.8	no.IV.3M.120	no.PO.3M.109	CD.IV.B.17	no.PO.3M.108	UC.IV.3M.100	CD.PO.B.5	UC.PO.3M.98	CD.IV.3M.88	CD.IV.3M.80	no.PO.B.48	CD.PO.B.1	UC.IV.B.37	CD.PO.3M.67	no.PO.B.50	UC.IV.B.27	UC.PO.3M.74	UC.IV.3M.107	CD.PO.3M.69	CD.PO.B.9	UC.IV.B.41	no.IV.3M.117	no.PO.3M.112	CD.PO.3M.68	UC.PO.3M.92	UC.IV.3M.102	no.IV.B.62	UC.PO.B.33	CD.IV.3M.89	UC.PO.B.35	UC.IV.B.38	UC.PO.3M.97	no.IV.3M.122	UC.IV.3M.101	UC.IV.B.44	CD.PO.3M.73	CD.IV.3M.77	no.PO.3M.111	no.IV.B.58	no.PO.B.47	CD.IV.3M.86	CD.PO.3M.70	UC.IV.B.42	CD.PO.3M.65	CD.IV.3M.81	CD.IV.B.23	UC.PO.B.34	no.IV.B.56	CD.IV.3M.87	no.IV.B.54	CD.IV.B.16	CD.IV.3M.78	CD.PO.B.6	CD.PO.B.10	no.IV.3M.121	CD.PO.B.13	no.PO.B.46	CD.IV.B.21	CD.IV.3M.84	no.IV.B.59	UC.PO.B.32	CD.PO.B.3	UC.PO.3M.91	UC.PO.3M.96	no.PO.3M.110	UC.IV.3M.90	taxonomy
Zotu187	5	0	164	7	4	36	51	3	1	19	297	53	1	42	47	4	14	904	0	992	249	8	543	9	0	15	54	860	146	55	109	428	395	12	84	6	0	0	10	1	2	67	2	256	7	57	598	28	13	1	18	226	12	19	155	28	4	0	13	0	0	1	100	12	1	0	0	141	2	299	285	22	0	0	145	0	22	30	18	0	8	10	80	8	51	3	173	1644	4	57	27	80	93	84	2	866	47	8	46	185	118	6	1	115	2	827	17	40	61	65	0	317	3	119	8	44	184	215	60	54	35	0	5	902	40	11	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;
Zotu109	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1095	0	2	0	374	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	535	0	0	0	1	1	2	0	0	0	1	133	0	0	0	0	129	1	0	0	0	0	0	0	0	0	0	172	0	0	0	1	0	0	0	768	0	942	356	0	1	1	0	1	0	0	0	33	159	0	0	0	0	0	1	1	0	1	0	0	0	98	0	1556	1	1077	0	0	0	0	0	0	0	563	0	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;
Zotu220	0	1	0	1	1	0	2	3	1	46	10	1	7	1	1	0	1	1	0	0	2	6	3	0	0	2	176	0	1	0	4	7	1	2	67	67	0	0	781	1	1	1	2	0	7	0	4	1	0	8	6	3	0	0	0	109	2	20	4	0	0	0	1	0	1	0	26	0	10	1	3	0	2	34	5	31	1	6	1	13	0	0	3	2	0	0	1068	2	0	0	26	1	2	149	0	0	5	2	0	0	2	21	14	3	0	0	24	2	11	3	2	0	3	6	1	4	0	0	6	1	0	10	0	0	0	0	Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;
Zotu283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	13	56	0	48	0	0	115	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	29	0	55	0	0	0	0	0	0	0	0	9	0	0	0	0	491	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	89	0	4	1	0	0	4	1	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	126	1	6	0	0	31	0	0	0	0	139	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;
Zotu179	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1285	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	436	0	0	0	0	0	0	0	0	1	0	0	0	1	0	108	0	0	0	0	0	0	0	0	0	0	1027	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1702	0	1	0	0	0	0	0	0	53	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Mogibacterium;
Zotu522	0	0	15	0	19	0	5	6	0	1	0	0	0	2	16	0	13	18	0	5	18	33	43	0	0	66	0	3	0	1	0	0	0	1	0	0	0	0	0	1	1	52	0	0	0	21	0	0	48	0	0	40	0	103	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	0	27	0	0	0	0	0	0	38	0	0	3	0	0	1	0	0	12	1	5	9	0	2	21	0	63	0	1	0	9	0	0	15	0	1	0	0	0	4	0	0	0	0	0	0	15	11	4	398	220	32	2	0	4	4	2	28	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
Zotu455	0	0	0	0	5	0	0	0	0	14	0	0	0	8	0	0	0	0	0	0	24	0	3	0	0	0	7	0	0	6	0	25	0	0	6	0	0	0	0	21	4	6	0	7	0	5	0	23	223	0	0	15	0	0	3	0	0	0	0	0	0	0	55	0	0	0	0	5	0	0	0	0	0	0	9	0	0	0	0	0	386	6	372	0	0	0	97	0	0	2	102	0	16	457	0	0	0	0	10	26	6	0	0	0	0	1	0	21	1	22	0	0	0	94	72	6	59	17	4	28	0	0	4	0	16	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella;
Zotu165	0	806	339	70	6	2	0	2	1	4	20	0	1487	57	1	15	5	0	180	2	11	10	16	2	87	775	44	0	6	37	7	117	114	12	75	0	0	3	2	459	124	87	0	5	0	118	209	3	56	5	39	6	0	352	6	0	0	0	82	1	0	48	2	0	1139	0	15	2	2	81	2	0	0	0	35	0	8	19	10	0	76	499	152	2	2	0	9	0	1	2	336	173	2	54	20	0	1	69	8	35	1	12	1	0	11	1	59	36	2	329	162	1	12	1	31	8	0	312	14	5	0	1	32	0	69	12	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella;
Zotu313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	1028	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;;
Zotu262	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	1	0	1	0	0	1939	0	7	1	1	12	0	0	77	2	1	0	2	5	2	0	0	5	0	0	2	0	0	0	0	3	0	0	0	1	0	0	47	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	572	2	0	0	2	0	0	0	1	4	0	0	0	7	0	0	0	0	0	2	0	0	1	1	1	2	0	2	9	0	0	0	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Parvimonas;;
